Location,Pincode,State,District,Latitude,Longitude
Alacherry,670650,Kerala,Kannur,11.8744775,75.37036619999999
Alakode,670571,Kerala,Kannur,12.190978,75.4673311
Alakode-kuttaramba,670571,Kerala,Kannur,12.190978,75.4673311
Alavil,670008,Kerala,Kannur,11.8777841,75.3575389
Ambayathode,670651,Kerala,Kannur,11.863742,75.88970290000002
Ambilat,670701,Kerala,Kannur,11.8521288,75.55059
Anchampeedika,670331,Kerala,Kannur,11.9780091,75.35070879999999
Angadikadavu,670706,Kerala,Kannur,12.0334662,75.74489899999999
Aniyaram,670672,Kerala,Kannur,11.7343045,75.5844334
Anjarakandy,670612,Kerala,Kannur,11.8858342,75.48508919999999
Annur,670332,Kerala,Kannur,11.2321032,77.10671599999999
Arabi,670705,Kerala,Kannur,31.8350053,-83.7430392
Aralam,670704,Kerala,Kannur,11.96764,75.77203279999999
Aralam Farm,670673,Kerala,Kannur,11.9372842,75.7682322
Arang,670582,Kerala,Kannur,11.8744775,75.37036619999999
Aravanchal,670307,Kerala,Kannur,12.2116629,75.2799884
Areekamala,670582,Kerala,Kannur,12.1328919,75.5771573
Aril,670143,Kerala,Kannur,11.8744775,75.37036619999999
Arivilanjapoyil,670571,Kerala,Kannur,12.2544685,75.4783058
Aroli,670566,Kerala,Kannur,11.9845571,75.38093599999999
Atakkathode,670674,Kerala,Kannur,11.9214171,75.84758529999999
Attadappa,670006,Kerala,Kannur,11.8654574,75.415984
Ayithara Mambram,670643,Kerala,Kannur,11.8697281,75.6037985
Azhikkal,670009,Kerala,Kannur,11.9170647,75.3353875
Azhikode,670009,Kerala,Kannur,11.9170647,75.3353875
Azhikode South,670009,Kerala,Kannur,11.9085789,75.33247229999999
Bavode,670622,Kerala,Kannur,11.862183,75.4831348
Burnacherry,670013,Kerala,Kannur,11.8591311,75.3689089
Chala East,670621,Kerala,Kannur,11.8676159,75.4381143
Chalad,670014,Kerala,Kannur,11.8830451,75.3485055
Chalakkode,670307,Kerala,Kannur,12.1271294,75.2255763
Chalil,670102,Kerala,Kannur,11.740186,75.49636799999999
Chamathachal,670633,Kerala,Kannur,12.0650131,75.6368111
Champad,670694,Kerala,Kannur,11.7591001,75.5538712
Chandanakampara,670633,Kerala,Kannur,12.1115622,75.60844209999999
Charal,670706,Kerala,Kannur,12.056396,75.7386027
Chattuvapara,670592,Kerala,Kannur,11.9584571,75.4683362
Chavasseri,670702,Kerala,Kannur,11.9454618,75.6120795
Chekkikulam,670592,Kerala,Kannur,11.9493749,75.44758209999999
Cheleri,670604,Kerala,Kannur,11.9462216,75.4140781
Chempanthotty,670631,Kerala,Kannur,12.0895945,75.49564
Chemperi,670632,Kerala,Kannur,12.0949968,75.5451379
Chendayad,670692,Kerala,Kannur,11.7874897,75.5931643
Chengalayi,670631,Kerala,Kannur,12.0447591,75.4898156
