Location,Pincode,State,District,Latitude,Longitude
Achanthuruthi,671351,Kerala,Kasargod,12.2295802,75.1238896
Achikanam,671531,Kerala,Kasargod,12.3329497,75.13390009999999
Adkathbail,671121,Kerala,Kasargod,12.514748,74.977047
Adur,671543,Kerala,Kasargod,12.5575461,75.1808035
Ajanur,671531,Kerala,Kasargod,12.3290807,75.07480319999999
Alampady,671123,Kerala,Kasargod,12.5342451,75.04073629999999
Ammeri,671322,Kerala,Kasargod,12.7142282,74.9990967
Anandashrama,671531,Kerala,Kasargod,12.3392829,75.1118101
Anekallu,671323,Kerala,Kasargod,12.7523393,74.99396829999999
Angadimogaru,671321,Kerala,Kasargod,12.6358638,75.0145213
Arikady,671321,Kerala,Kasargod,12.6113012,74.947181
Ariyapady,671551,Kerala,Kasargod,12.5080019,74.9882114
Attenganam,671531,Kerala,Kasargod,12.3896193,75.1968524
Badaje,671323,Kerala,Kasargod,12.7318223,74.9062622
Badur,671321,Kerala,Kasargod,12.6580371,75.03190860000001
Balal,671533,Kerala,Kasargod,12.3920127,75.2654063
Balanthode,671532,Kerala,Kasargod,12.459245,75.3208107
Balemoole,671552,Kerala,Kasargod,12.6684295,75.1449995
Balla,671531,Kerala,Kasargod,12.3204747,75.1066117
Bandadka,671541,Kerala,Kasargod,12.5010056,75.26832279999999
Bangramanjeshwar,671323,Kerala,Kasargod,12.709134,74.90041579999999
Bare,671319,Kerala,Kasargod,12.4479048,75.0421313
Bayar,671348,Kerala,Kasargod,12.6915639,75.03190860000001
Bedadka,671541,Kerala,Kasargod,12.4564115,75.1691305
Bedradka,671124,Kerala,Kasargod,12.45011,75.150031
Bekal,671318,Kerala,Kasargod,12.4203532,75.0231457
Bekur,671322,Kerala,Kasargod,12.6720564,74.93549089999999
Bela,671321,Kerala,Kasargod,12.5693449,75.0435916
Belluru,671543,Kerala,Kasargod,12.5862962,75.1705897
Bengalam,671314,Kerala,Kasargod,12.2938834,75.1530362
Beripadavu,671322,Kerala,Kasargod,12.7104317,75.0530692
Bheemanady,671314,Kerala,Kasargod,12.3263724,75.2887369
Bombrana,671321,Kerala,Kasargod,12.6181962,74.94571979999999
Chamnad,671317,Kerala,Kasargod,12.4892345,75.0085399
Chamundikunnu,671532,Kerala,Kasargod,12.4753502,75.30914829999999
Chandragiri,671317,Kerala,Kasargod,12.4699372,75.00324499999999
Charla,671323,Kerala,Kasargod,12.6999783,74.9461582
Chathamath,671314,Kerala,Kasargod,12.247964,75.1556878
Chayoth,671314,Kerala,Kasargod,12.2842233,75.1808035
Chengala,671541,Kerala,Kasargod,12.5023722,75.0435916
Cheroor,671123,Kerala,Kasargod,12.4994177,75.040671
Chervathur,671313,Kerala,Kasargod,12.2165159,75.1626153
Chimeni,671313,Kerala,Kasargod,12.2425384,75.233321
Chippar,671322,Kerala,Kasargod,12.7040269,75.00561859999999
Chittari,671316,Kerala,Kasargod,12.3600204,75.06549509999999
Chittarikkal,671326,Kerala,Kasargod,12.3219885,75.3616223
Chully,671533,Kerala,Kasargod,12.386692,75.3208107
Darkas,671533,Kerala,Kasargod,12.5080019,74.9882114
Delampady,671543,Kerala,Kasargod,12.5972774,75.291653
Dharmathadka,671324,Kerala,Kasargod,12.6662508,75.0289877
Edachakai,671310,Kerala,Kasargod,12.1667584,75.1581863
Ednad,671321,Kerala,Kasargod,12.6031422,74.9997758
Edneer,671541,Kerala,Kasargod,12.5233865,75.0698754
Elambachi,671311,Kerala,Kasargod,12.1223367,75.1867534
Elerithattu,671314,Kerala,Kasargod,12.3309825,75.3089937
Erikulam,671314,Kerala,Kasargod,12.3052223,75.1574567
Haripuram,671531,Kerala,Kasargod,18.8485555,84.5038658
Heroor,671324,Kerala,Kasargod,12.6499149,74.9632534
Hidayathnagar,671123,Kerala,Kasargod,12.6736602,74.9088199
Hosabettu,671323,Kerala,Kasargod,12.7140433,74.88872239999999
Ichlangodu,671324,Kerala,Kasargod,12.6451391,74.9530257
Iriya,671531,Kerala,Kasargod,12.3907897,75.1676713
Iriyanni,671542,Kerala,Kasargod,12.4931871,75.1282683
Kadambar,671323,Kerala,Kasargod,12.7231438,74.92526149999999
Kaithakkad,671313,Kerala,Kasargod,12.2051724,75.1355659
Kakkebettu,671543,Kerala,Kasargod,12.5924268,75.188143
Kalichanadukam,671314,Kerala,Kasargod,12.3304092,75.20998209999999
Kallakatta,671123,Kerala,Kasargod,12.5443044,75.03714680000002
Kallappally,671532,Kerala,Kasargod,12.4924104,75.389979
Kalnad,671317,Kerala,Kasargod,12.4557718,75.0085399
Kanakappally,671533,Kerala,Kasargod,12.3646744,75.27378759999999
Kanathur,671542,Kerala,Kasargod,12.5012271,75.1472414
Kanhangad,671315,Kerala,Kasargod,12.3310887,75.09150799999999
Kanhangad South,671531,Kerala,Kasargod,12.291546,75.1000969
Kanhiradkam,671531,Kerala,Kasargod,12.4167118,75.1574567
Kanhirapoil,671531,Kerala,Kasargod,12.3284783,75.1749671
Kannur,671321,Kerala,Kasargod,12.5699598,74.9807852
Karadka,671542,Kerala,Kasargod,12.5411255,75.1370254
Karindala,671314,Kerala,Kasargod,12.5080019,74.9882114
Karivedakam,671541,Kerala,Kasargod,12.4724424,75.2566564
Kasaragod,671121,Kerala,Kasargod,12.5080019,74.9882114
Kasaragod R s,671121,Kerala,Kasargod,12.5080019,74.9882114
Kattipoil,671314,Kerala,Kasargod,12.5080019,74.9882114
Kattukukke,671552,Kerala,Kasargod,12.664025,75.1370254
Kayyaru,671322,Kerala,Kasargod,12.6576514,74.9764024
Kayyur,671313,Kerala,Kasargod,12.2648869,75.1837216
Keekan,671316,Kerala,Kasargod,12.3832983,75.0581943
Kidoor,671321,Kerala,Kasargod,12.6330201,74.9851678
Kilaikote,671313,Kerala,Kasargod,12.2457637,75.1731774
Kinanur,671533,Kerala,Kasargod,12.3002375,75.21873459999999
Kinningar,671543,Kerala,Kasargod,12.6076474,75.1657386
Kodiamme,671321,Kerala,Kasargod,12.5080019,74.9882114
Kodlamogaru,671323,Kerala,Kasargod,12.7506611,74.96617549999999
Kodoth,671531,Kerala,Kasargod,12.4130803,75.1924755
Kolathuri,671541,Kerala,Kasargod,12.4610263,75.1019942
Kolavayal,671531,Kerala,Kasargod,12.3271178,75.07785310000001
Koliyur,671323,Kerala,Kasargod,12.7401186,74.9530257
Kollampara,671314,Kerala,Kasargod,12.2843855,75.2084989
Konnakad,671533,Kerala,Kasargod,12.3672476,75.3732807
Kotakkat,671357,Kerala,Kasargod,12.5080019,74.9882114
Kotoor,671542,Kerala,Kasargod,12.5153313,75.12333149999999
Kottacherry,671315,Kerala,Kasargod,12.3258844,75.0841107
Kottamala Estate,671314,Kerala,Kasargod,9.7184285,76.9326167
Kottapuram,671341,Kerala,Kasargod,12.2329854,75.12773469999999
Kottody,671532,Kerala,Kasargod,12.4314348,75.22165199999999
Kudalmerkala,671324,Kerala,Kasargod,12.6567003,75.0085399
Kudlu,671124,Kerala,Kasargod,12.5299165,74.9880895
Kumbdaje,671551,Kerala,Kasargod,12.5887528,75.1151318
Kumbla,671321,Kerala,Kasargod,12.5945539,74.947181
Kundankuzhy,671541,Kerala,Kasargod,12.4547822,75.1399443
Kunjathur,671323,Kerala,Kasargod,12.7475688,74.88872239999999
Kuntar,671543,Kerala,Kasargod,12.6075045,75.0732479
Kuntikana,671551,Kerala,Kasargod,12.6074714,75.054676
Kurudapadavu,671322,Kerala,Kasargod,12.7313008,74.9939327
Kuttikolu,671541,Kerala,Kasargod,12.4810112,75.20998209999999
Madhur,671124,Kerala,Kasargod,12.5548781,75.01000049999999
Madikai,671314,Kerala,Kasargod,12.2986844,75.1399443
Maire,671552,Kerala,Kasargod,12.6370239,75.0552739
Majibail,671323,Kerala,Kasargod,12.693856,74.9018774
Malakallu,671532,Kerala,Kasargod,12.4412369,75.27269749999999
Malla,671542,Kerala,Kasargod,12.5208084,75.0972367
Manadka,671541,Kerala,Kasargod,12.5080019,74.9882114
Mandapam,671326,Kerala,Kasargod,12.3049289,75.3271592
Mangalpady,671324,Kerala,Kasargod,12.6542911,74.91795429999999
Manikoth,671329,Kerala,Kasargod,12.346903,75.0800957
Manimoole,671541,Kerala,Kasargod,12.5059161,75.28722789999999
Maniyat,671310,Kerala,Kasargod,12.1781085,75.1749671
Manjeshwar,671323,Kerala,Kasargod,12.7245542,74.8850112
Mavilakadapuram,671312,Kerala,Kasargod,12.1907786,75.12680870000001
